iter	Passed	Remaining
0	23	23932
1	39	19463
2	52	17317
3	65	16278
4	78	15597
5	92	15253
6	105	15009
7	119	14827
8	133	14654
9	145	14431
10	159	14347
11	173	14258
12	190	14452
13	209	14734
14	223	14655
15	236	14543
16	251	14519
17	263	14378
18	275	14237
19	287	14110
20	299	13965
21	311	13844
22	323	13750
23	335	13646
24	347	13569
25	363	13625
26	379	13658
27	415	14427
28	433	14529
29	445	14393
30	456	14273
31	466	14121
32	478	14033
33	490	13946
34	502	13849
35	513	13761
36	525	13679
37	537	13606
38	549	13532
39	562	13506
40	576	13482
41	587	13408
42	601	13377
43	613	13322
44	625	13269
45	637	13214
46	649	13161
47	660	13098
48	671	13038
49	683	12993
50	695	12947
51	710	12958
52	723	12930
53	735	12890
54	749	12885
55	759	12804
56	777	12863
57	790	12841
58	802	12806
59	815	12769
60	826	12729
61	839	12694
62	851	12659
63	863	12631
64	876	12608
65	904	12794
66	926	12895
67	950	13021
68	965	13024
69	979	13009
70	991	12976
71	1004	12942
72	1018	12928
73	1033	12935
74	1047	12920
75	1059	12886
76	1073	12863
77	1085	12835
78	1096	12783
79	1109	12754
80	1123	12746
81	1134	12702
82	1146	12667
83	1161	12660
84	1175	12657
85	1192	12677
86	1206	12660
87	1218	12625
88	1228	12576
89	1240	12545
90	1253	12522
91	1268	12521
92	1289	12580
93	1313	12662
94	1331	12682
95	1348	12700
96	1363	12697
97	1376	12670
98	1389	12650
99	1401	12616
100	1412	12573
101	1423	12533
102	1435	12499
103	1447	12473
104	1470	12532
105	1488	12553
106	1499	12511
107	1520	12556
108	1530	12510
109	1542	12477
110	1554	12446
111	1565	12411
112	1577	12383
113	1590	12365
114	1603	12340
115	1617	12328
116	1629	12295
117	1641	12267
118	1652	12235
119	1668	12237
120	1682	12224
121	1694	12194
122	1707	12174
123	1719	12147
124	1731	12120
125	1743	12093
126	1755	12066
127	1767	12043
128	1779	12018
129	1792	11993
130	1804	11969
131	1816	11944
132	1828	11919
133	1843	11911
134	1857	11901
135	1873	11902
136	1887	11890
137	1906	11908
138	1917	11879
139	1930	11861
140	1943	11842
141	1956	11819
142	1968	11795
143	1980	11774
144	1993	11754
145	2005	11733
146	2020	11726
147	2031	11695
148	2041	11660
149	2050	11621
150	2061	11589
151	2077	11588
152	2089	11566
153	2100	11539
154	2111	11510
155	2124	11492
156	2136	11472
157	2151	11467
158	2162	11438
159	2174	11416
160	2187	11399
161	2202	11394
162	2221	11407
163	2234	11389
164	2246	11367
165	2256	11337
166	2266	11303
167	2277	11278
168	2288	11253
169	2304	11253
170	2317	11237
171	2330	11218
172	2342	11197
173	2354	11176
174	2367	11158
175	2378	11137
176	2392	11125
177	2406	11113
178	2418	11093
179	2429	11069
180	2441	11048
181	2453	11027
182	2465	11006
183	2477	10985
184	2488	10964
185	2501	10945
186	2520	10959
187	2541	10977
188	2559	10983
189	2574	10973
190	2587	10960
191	2597	10933
192	2608	10905
193	2619	10883
194	2631	10863
195	2643	10842
196	2654	10820
197	2666	10800
198	2678	10781
199	2691	10766
200	2703	10747
201	2715	10728
202	2727	10707
203	2743	10704
204	2759	10701
205	2772	10685
206	2783	10663
207	2795	10643
208	2806	10622
209	2818	10602
210	2829	10581
211	2843	10569
212	2854	10548
213	2867	10532
214	2880	10516
215	2892	10500
216	2905	10483
217	2920	10477
218	2934	10466
219	2947	10450
220	2960	10434
221	2972	10415
222	2984	10397
223	2997	10383
224	3010	10370
225	3023	10353
226	3035	10336
227	3048	10322
228	3061	10307
229	3074	10291
230	3086	10274
231	3102	10269
232	3114	10252
233	3126	10235
234	3140	10222
235	3151	10203
236	3163	10186
237	3175	10167
238	3188	10153
239	3201	10136
240	3213	10119
241	3227	10109
242	3240	10093
243	3253	10079
244	3265	10063
245	3281	10056
246	3292	10038
247	3306	10025
248	3317	10006
249	3330	9990
250	3342	9974
251	3354	9957
252	3366	9940
253	3378	9923
254	3391	9907
255	3403	9890
256	3415	9873
257	3427	9857
258	3444	9853
259	3470	9878
260	3484	9864
261	3494	9842
262	3509	9833
263	3524	9824
264	3537	9812
265	3549	9794
266	3561	9778
267	3574	9763
268	3597	9776
269	3614	9771
270	3630	9765
271	3641	9745
272	3658	9741
273	3668	9718
274	3678	9698
275	3692	9685
276	3704	9668
277	3716	9651
278	3727	9633
279	3738	9614
280	3750	9596
281	3762	9579
282	3774	9563
283	3786	9546
284	3798	9529
285	3810	9512
286	3822	9496
287	3835	9481
288	3845	9460
289	3859	9449
290	3870	9431
291	3881	9411
292	3891	9390
293	3902	9371
294	3914	9354
295	3926	9337
296	3938	9321
297	3948	9302
298	3963	9291
299	3975	9276
300	3988	9262
301	4001	9248
302	4013	9231
303	4025	9216
304	4035	9195
305	4045	9175
306	4059	9163
307	4071	9146
308	4083	9131
309	4095	9114
310	4107	9098
311	4118	9082
312	4129	9064
313	4141	9048
314	4153	9031
315	4165	9016
316	4175	8996
317	4185	8976
318	4196	8959
319	4207	8940
320	4221	8930
321	4237	8923
322	4252	8914
